0.085933,0.063143,-1.056431,4.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.161066,0.094733,-1.032294,4.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
0.085933,0.063143,-1.056431,4.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.137066,0.123257,-1.029560,4.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
0.018998,0.003557,-1.026221,4.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
0.085933,0.063143,-1.056431,4.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.041517,-0.021421,-1.028106,4.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
0.094363,0.140735,-1.027209,4.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
0.137066,0.123257,-1.029560,4.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
0.085933,0.063143,-1.056431,4.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.067451,-0.030584,-1.029989,4.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
0.041517,-0.021421,-1.028106,4.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
0.085933,0.063143,-1.056431,4.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.094986,-0.031452,-1.031759,3.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.067451,-0.030584,-1.029989,4.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
0.085933,0.063143,-1.056431,4.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.108716,-0.026823,-1.032624,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.145255,0.009301,-1.036776,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.085933,0.063143,-1.056431,9.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.145255,0.009301,-1.036776,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.171824,0.047465,-1.034938,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.085933,0.063143,-1.056431,9.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.161066,0.094733,-1.032294,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.137066,0.123257,-1.029560,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.085933,0.063143,-1.056431,9.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.171824,0.047465,-1.034938,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.161066,0.094733,-1.032294,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.085933,0.063143,-1.056431,9.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.108716,-0.026823,-1.032624,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.085933,0.063143,-1.056431,9.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.067451,-0.030584,-1.029989,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.019866,0.107550,-1.025255,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.085933,0.063143,-1.056431,9.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.047806,0.134617,-1.025517,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.019866,0.107550,-1.025255,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.006859,0.059047,-1.025073,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.085933,0.063143,-1.056431,9.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.094363,0.140735,-1.027209,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.047806,0.134617,-1.025517,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.085933,0.063143,-1.056431,9.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.006859,0.059047,-1.025073,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.018998,0.003557,-1.026221,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.085933,0.063143,-1.056431,9.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.018998,0.003557,-1.026221,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.041517,-0.021421,-1.028106,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.085933,0.063143,-1.056431,9.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.067451,-0.030584,-1.029989,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.085933,0.063143,-1.056431,9.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.041517,-0.021421,-1.028106,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.137066,0.123257,-1.029560,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.094363,0.140735,-1.027209,9.000000,3.000000,0.000000,0.000000,0.900000,0.100000,0.000000,0.000000
-0.085933,0.063143,-1.056431,9.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.006879,0.062390,-1.612409,16.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.001590,0.064016,-1.610434,16.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.003989,0.060954,-1.614260,16.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.099137,0.162437,-0.545756,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.100657,0.165595,-0.547626,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.078826,0.166964,-0.547764,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.082789,0.060910,-0.427650,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.063853,0.062610,-0.403056,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.065241,0.066249,-0.464625,5.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.100657,0.165595,-0.547626,10.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.099137,0.162437,-0.545756,10.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.078826,0.166964,-0.547764,10.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.063853,0.062610,-0.403056,10.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.082789,0.060910,-0.427650,10.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.065241,0.066249,-0.464625,10.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.103474,0.105142,-1.756651,35.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.000000,0.128815,-1.818481,35.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.094326,0.140462,-1.739623,35.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.000000,0.128815,-1.818481,35.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.103474,0.105142,-1.756651,35.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.094326,0.140462,-1.739623,35.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
-0.011843,-0.000796,-1.706755,57.000000,35.000000,0.000000,0.000000,0.850000,0.150000,0.000000,0.000000
0.000315,-0.005490,-1.715674,57.000000,35.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.000807,-0.006759,-1.714916,57.000000,35.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.000315,-0.005490,-1.715674,57.000000,35.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.013930,-0.009734,-1.730392,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.014831,-0.011744,-1.729135,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.000807,-0.006759,-1.714916,57.000000,35.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.000315,-0.005490,-1.715674,57.000000,35.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.014831,-0.011744,-1.729135,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.014831,-0.011744,-1.729135,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.013930,-0.009734,-1.730392,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.024135,-0.015215,-1.744961,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.013930,-0.009734,-1.730392,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.021501,-0.011723,-1.746475,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.024135,-0.015215,-1.744961,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.024135,-0.015215,-1.744961,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.021501,-0.011723,-1.746475,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.030821,-0.017627,-1.764180,35.000000,57.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.021501,-0.011723,-1.746475,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.027546,-0.014154,-1.764573,35.000000,57.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.030821,-0.017627,-1.764180,35.000000,57.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.030821,-0.017627,-1.764180,35.000000,57.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.027546,-0.014154,-1.764573,35.000000,57.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.034126,-0.013258,-1.797572,35.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.027546,-0.014154,-1.764573,35.000000,57.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.033821,-0.009049,-1.797447,35.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.034126,-0.013258,-1.797572,35.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.024135,-0.015215,-1.744961,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.030821,-0.017627,-1.764180,35.000000,57.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.027420,-0.023746,-1.764891,35.000000,57.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.030821,-0.017627,-1.764180,35.000000,57.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.034126,-0.013258,-1.797572,35.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.027420,-0.023746,-1.764891,35.000000,57.000000,0.000000,0.000000,0.700000,0.300000,0.000000,0.000000
0.014831,-0.011744,-1.729135,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.024135,-0.015215,-1.744961,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.020775,-0.021645,-1.745617,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
0.020775,-0.021645,-1.745617,35.000000,57.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000
